HOLDING_ID	PUT_OR_CALL	WRITTEN_OR_PURCHASED	SHARES_CNT	PRINCIPAL_AMOUNT	CURRENCY_CODE	EXERCISE_PRICE	EXPIRATION_DATE	UNREALIZED_APPRECIATION
157703218	Put	Written	100			62.5	21-NOV-2025	1336515
156398424	Put	Written	100			6375	17-SEP-2025	-48985.65
156391161	Put	Purchased	100			5750	10-SEP-2025	-27613.55
157289333	Put	Purchased	1			4.05	30-JAN-2026	-1608683.39
156387593	Put	Purchased	100			6115	05-SEP-2025	-2420.46
156387501	Put	Written	100			6440	23-SEP-2025	-9634.68
159188594	Call	Purchased		750000000	JPY	0	07-MAR-2031	215533.76
159184589	Put	Written	1			3.1	24-JUN-2026	-174058.99
159167122	Put	Written	1			1.9	02-DEC-2025	-361016.58
159185265	Call	Written	1			2.7	17-AUG-2026	45912.6
158643951	Call	Written	100			480	18-JUN-2026	-4346231
157288291	Put	Purchased	1			4.22	27-FEB-2026	-2022847.57
157288742	Put	Purchased	1			4	31-MAR-2026	-2046031.93
159301574	Put	Purchased				.63	08-OCT-2025	-445272.82
159291474	Call	Purchased				10.2	26-NOV-2025	-532843.42
157703859	Call	Written	100			240	19-DEC-2025	-2840467.25
157702929	Call	Written	100			220	19-DEC-2025	-7054332.25
156452466	Put	Purchased	1			3.804	25-AUG-2026	41758.38
158499755	Call	Written	100			80	17-OCT-2025	111496.01
156391670	Put	Written	100			6430	30-SEP-2025	-10815.21
161041793	Call	Written	10			6100	19-DEC-2025	188086.02
160399363	Put	Purchased	438614000			50	19-NOV-2025	-327135.86
159370271	Call	Purchased				4.31	02-MAY-2035	-887159.61
159369047	Put	Purchased				4.43	16-MAY-2035	-1135017.8
159370529	Put	Purchased				5	06-APR-2026	-445309.86
159367614	Put	Purchased				4.31	24-APR-2035	-992141.04
159369787	Call	Purchased				4.66	20-AUG-2035	-1482807.06
159370011	Put	Purchased				4.1	06-FEB-2035	-815172.93
158356248	Put	Purchased	1			3.804	25-AUG-2026	89802.73
157703528	Put	Written	100			200	19-DEC-2025	-560867.25
157702284	Put	Written	100			250	21-NOV-2025	1796628.75
159795269	Put	Written	-190220625			3.64	13-AUG-2026	115890.02
159385471	Call	Purchased				2.4	20-JUL-2027	-1532311.46
159344289	Put	Written				2.85	02-OCT-2025	95886.83
158499690	Put	Purchased		268348000	USD	4.33	14-OCT-2025	-3787913.55
156391214	Put	Written	100			6370	12-SEP-2025	21239.54
156388507	Put	Purchased	100			5740	05-SEP-2025	-45554.23
159277146	Call	Written				3.58	02-OCT-2025	60624.89
159300827	Call	Written				2.55	06-OCT-2025	110518.69
157702007	Call	Written	100			120	19-DEC-2025	-797669
156393177	Put	Written	100			6330	03-SEP-2025	191672.83
159185201	Put	Purchased	10			5300	17-OCT-2025	-340376.33
159170220	Call	Purchased	1			1.185	09-MAR-2026	-107505.68
159182034	Put	Purchased	1			142	08-OCT-2025	-4512338.71
157666202	Call	Purchased	1000000			98	11-DEC-2026	-33922.7
159793655	Call	Purchased	101490			11.5	16-SEP-2026	-233093.31
159794052	Call	Purchased	2846274			.01	31-DEC-2049	284.63
159794488	Put	Purchased	246688000			1.12	16-JAN-2026	-950769.74
157674525	Call	Purchased	108820			0	31-MAR-2040	0
159442904	Call	Written				56.9	12-NOV-2025	577633.6
160010510	Call	Purchased	1			1	24-JUL-2025	0
160011159	Call	Purchased	1			1	02-AUG-2030	0
159288050	Put	Purchased				1.15	08-OCT-2025	-1407228.64
159285731	Put	Written				127.5	24-OCT-2025	229304.82
159302833	Put	Written				3.7	06-OCT-2025	80563.25
157701949	Put	Written	100			190	21-NOV-2025	1439378.75
156392208	Put	Written	100			6240	17-SEP-2025	217720.92
156454287	Call	Purchased	1			4.075	24-APR-2030	-385293.04
159370160	Call	Written				102.38	07-OCT-2025	286986.84
159375020	Put	Purchased				4.56	09-JUL-2035	-2075972.27
159368363	Call	Purchased				4.69	27-AUG-2035	-858962.88
156358557	Put	Purchased	1			3.95	29-APR-2030	-182078.64
156349985	Call	Purchased	1			3.837	22-JUL-2026	-186101.68
156418741	Call	Purchased	1			4.01	07-MAY-2030	-29165.13
159795734	Put	Written	-135871875			3.925	19-FEB-2026	221347.52
159795755	Put	Purchased	139218000			140	19-NOV-2025	-3038445.38
159372649	Call	Purchased				2.75	09-FEB-2026	-298985.68
156348826	Put	Purchased	1			4.146	30-JUL-2030	-87102.32
156459221	Call	Purchased	1			3.804	25-AUG-2026	-43471.85
156442053	Put	Purchased	1			3.53	01-AUG-2029	-1004856.49
159422815	Call	Purchased				.01	10-JUN-2071	0
159273210	Call	Written				7.85	14-AUG-2026	-1894.14
156396110	Put	Purchased	.01			.625	08-OCT-2025	-44890.57
159180662	Call	Written	100			410	17-OCT-2025	241497.07
159182346	Call	Written	1			2.4	18-AUG-2026	29677
159390909	Put	Purchased				2.4	20-JUL-2027	1814757.96
159271575	Call	Purchased				7.8	24-AUG-2026	-8165.4
156421258	Put	Purchased	1			4.08	24-APR-2030	-28492.72
156420634	Call	Written	1			3.5725	04-SEP-2035	10040.8
159177863	Put	Purchased	1000			62	16-OCT-2025	-218367
159185502	Put	Written	100			145	21-NOV-2025	73887.87
159160479	Put	Written	100			630	21-NOV-2025	-31693.66
159188972	Call	Written	1			52.5	18-MAR-2026	-10366.82
158643841	Call	Written	100			32.5	16-JAN-2026	-572739.96
159272000	Call	Purchased				10.2	26-NOV-2025	-186682.78
157702032	Call	Written	100			95	21-NOV-2025	420294.37
157703196	Call	Written	100			145	21-NOV-2025	-16571.25
156391575	Put	Written	.01			.7	17-DEC-2025	-3984.8
156394913	Put	Written	100			6270	03-SEP-2025	193467.5
156458703	Call	Purchased	1			4.01	07-MAY-2030	-319561.97
159372273	Call	Written				3.41	14-OCT-2025	393242.67
159374844	Call	Purchased				2.75	05-FEB-2026	-372917.6
159367586	Call	Written				3.37	16-OCT-2025	-182324.1
159373731	Put	Purchased				4.29	07-MAY-2035	-1036986.36
159276178	Call	Written				3.38	14-OCT-2025	6836.75
159274539	Put	Written				127.5	24-OCT-2025	64384.57
159292717	Put	Written				111.5	24-OCT-2025	-19204.37
159293150	Call	Written				3.33	14-OCT-2025	163057.3
157703822	Call	Written	100			50	19-DEC-2025	779132.75
159173067	Call	Written	100			45	17-OCT-2025	232340.47
159178863	Call	Written	100			81	17-OCT-2025	-1438520.2
159182855	Call	Purchased	1			2485.5216	11-MAR-2031	7404651.73
158644129	Call	Written	100			145	16-JAN-2026	-2258144.22
156371789	Call	Purchased	1			4.025	23-APR-2030	-141719.13
159271697	Put	Written				3.81	06-OCT-2025	17979.51
159273527	Put	Written				3.63	14-OCT-2025	-125403.75
159301031	Put	Purchased				.62	10-OCT-2025	-319926.55
159286352	Call	Written				3.38	10-OCT-2025	237323.68
159288194	Call	Written				3.38	14-OCT-2025	201802
158499958	Call	Purchased	1			69	15-JUN-2027	-63983.9
156369351	Put	Purchased	1			4.146	30-JUL-2030	-15786.1
156387325	Put	Written	100			6355	02-SEP-2025	25474.54
156391804	Put	Written	100			6380	16-SEP-2025	13081.32
156420537	Put	Written	1			3.897	26-SEP-2025	8934.86
156413784	Put	Purchased	1			3.8	10-AUG-2026	258.7
159179518	Put	Purchased	1			287.5	15-OCT-2025	-51269.14
159181955	Put	Written	1			21404.66	30-DEC-2025	25967.72
159174398	Put	Purchased	1			44	19-NOV-2025	-63366.48
159185673	Call	Written	1			7.75	10-OCT-2025	-341995.86
158243424	Call	Written	-215500000			3.2	03-SEP-2027	300885.43
158643778	Call	Written	100			145	16-JAN-2026	1020188.4
159795407	Call	Purchased	440817500			3.5	13-FEB-2026	273505.22
157819231	Call	Purchased	1			1.3454	17-JAN-2031	311368.09
159385883	Call	Written				.03	23-JUL-2026	556511.04
159285293	Call	Written				3.58	02-OCT-2025	165850.47
157703657	Call	Written	100			67.5	16-JAN-2026	199565.5
156460748	Put	Purchased	1			4.08	24-APR-2030	-286410.27
159342507	Call	Written				2.55	06-OCT-2025	53997.71
156369589	Call	Purchased	1			4.146	30-JUL-2030	-33992.99
161041730	Call	Purchased	10			5800	19-DEC-2025	-436186.75
159375249	Call	Purchased				3.13	14-SEP-2026	-265687.72
159376574	Call	Written				93.94	07-OCT-2025	-16066.6
159368583	Put	Purchased				6	17-OCT-2025	-2541460.9
160529647	Put	Written		-20000000	USD	85	26-APR-2026	22564
160530411	Put	Written		-1300000000	USD	70	19-NOV-2025	899602.53
159183134	Call	Written	10			5650	19-DEC-2025	-827118.81
159188698	Put	Purchased	100			245	21-NOV-2025	50374.4
159184195	Put	Written	1			16.8	12-DEC-2025	204241.51
159186034	Put	Purchased	50			210	17-OCT-2025	-43725.62
158243455	Call	Purchased	182300000			3.515	03-SEP-2027	-187181.55
158643930	Call	Written	100			95	16-JAN-2026	70070.22
158643968	Call	Written	100			620	16-JAN-2026	1236541.45
159794300	Put	Written	-135871875			3.853	13-FEB-2026	230793.32
159794926	Put	Written	-135871875			3.929	19-FEB-2026	234198.28
159795082	Put	Written	-135871875			3.71	19-AUG-2026	111065.74
159794609	Call	Written	-135871875			2.89	20-FEB-2026	67506.58
157917756	Call	Purchased		2205	USD	0	01-AUG-2035	12123.09
156392924	Call	Written	100			650	19-SEP-2025	397283.75
159370831	Call	Purchased				2.6	17-JUN-2026	-180531.16
159372977	Put	Purchased				.03	26-JAN-2027	-20229430.8
159374700	Put	Written				3.58	10-NOV-2025	-188716.22
156348228	Put	Purchased	1			4.01	07-MAY-2030	-81901.76
159183862	Call	Purchased	1			1.39	02-OCT-2025	-69780.63
159173529	Call	Purchased	100			672	03-OCT-2025	-2716691.05
159187041	Put	Written	1			3.9	09-DEC-2025	1369080.64
159186021	Put	Purchased	1			1.175	10-OCT-2025	30758.77
159179807	Put	Written	100			155	21-NOV-2025	-6111.73
157666193	Call	Purchased	1000000			97.5	12-DEC-2025	-670467.2
158498690	Call	Purchased	1			11.5	01-JUL-2026	-235344.95
159373563	Put	Purchased				99.09	04-DEC-2025	8095.5
158355920	Put	Purchased	1			4.03	25-APR-2030	-104938.24
157701842	Call	Written	100			77.5	19-DEC-2025	-1421734.5
159369282	Put	Written				3.91	06-NOV-2025	170930.4
159373021	Put	Written				4.25	07-OCT-2025	319580.46
159373576	Put	Purchased				4.07	07-MAR-2035	-1062802.62
158363472	Put	Purchased	1			4.075	24-APR-2030	-79154.22
160530274	Put	Written		-831530000	USD	67.5	19-NOV-2025	277822.51
159180396	Call	Purchased	1			33.5	03-DEC-2025	-87670.02
159182220	Put	Purchased	1			16500	30-OCT-2025	-1313901.29
159183403	Put	Purchased	1			215.22	21-NOV-2025	-283757.64
159185984	Call	Written	1			148.5	09-OCT-2025	48340.41
159177786	Put	Written	1			100	15-OCT-2025	27190.67
159182752	Put	Written	1			2.9	24-JUN-2026	-106153.06
158243500	Call	Written	-23300000			3.81	26-MAR-2026	14346.38
158643798	Call	Written	100			260	16-JAN-2026	1506339
158643765	Call	Written	100			235	16-JAN-2026	-6946049.7
159372735	Put	Written				4.03	04-DEC-2025	-33731.43
159366885	Put	Written				.02	26-JAN-2027	8770291.6
158355510	Call	Purchased	1			4.03	25-APR-2030	-239025.6
157702910	Put	Written	100			135	21-NOV-2025	1358265.5
157702445	Put	Written	100			180	21-NOV-2025	2559435.5
157702317	Call	Written	100			220	21-NOV-2025	-5480867.25
157703589	Put	Written	100			250	19-DEC-2025	-882.25
159346731	Call	Written				3.38	10-OCT-2025	145062.68
159345357	Put	Written				3.63	14-OCT-2025	-122728.47
158505605	Call	Purchased	1			35.41	25-APR-2035	5793.08
156392272	Put	Purchased	100			6000	12-SEP-2025	-1902.46
159795769	Call	Written	-190220625			2.64	13-AUG-2026	139313.78
159794214	Put	Purchased	84910000			1.01	26-NOV-2025	-1092099.11
159793743	Call	Written	-135871875			2.71	19-AUG-2026	41136.57
159297842	Put	Written				2.75	17-OCT-2025	3003.25
159345412	Call	Written				2.55	17-OCT-2025	43903.6
156377650	Call	Purchased	1			3.8	10-AUG-2026	-47451.36
156387255	Call	Written	100			305	03-OCT-2025	-356575.46
156404942	Put	Purchased	1			3.9025	14-APR-2026	-20964.93
156401430	Put	Purchased	.01			1.11	26-NOV-2025	-49912.13
159183314	Put	Purchased	50			205	17-OCT-2025	-265499.92
159161001	Call	Purchased	1			497.76	11-DEC-2025	-14257.39
159185525	Put	Purchased	1			145	09-OCT-2025	-347666.38
158243491	Call	Written	-11700000			3.45	25-MAR-2026	-125162.7
159435477	Call	Purchased				.01	01-AUG-2035	-572997.01
159306757	Put	Written				3.69	10-OCT-2025	-36608.44
156391757	Call	Purchased	1			4.485	31-JUL-2035	-183012.06
156397207	Put	Purchased	1			4.693	27-AUG-2035	-3018.79
159795586	Put	Purchased	283040000			1.01	24-NOV-2025	-4038084.7
157829043	Call	Purchased	43955			18.2005	20-APR-2032	0
156350756	Put	Purchased	1			4.03	25-APR-2030	-158240.82
156413530	Call	Purchased	1			3.9	08-JUL-2026	-24939.64
156400201	Put	Written	1			3.8725	02-SEP-2025	10709.47
157703354	Call	Written	100			170	19-DEC-2025	938918.25
159162629	Put	Written	100			100	21-NOV-2025	-5723.45
159185928	Put	Purchased	1			86	03-NOV-2025	-502887.62
159170719	Put	Purchased	1			1.27	16-OCT-2025	-187588.7
159180225	Call	Purchased	250000			96.5	12-DEC-2025	-1010050
159180731	Put	Purchased	100			170	17-OCT-2025	-82532.4
158643802	Call	Written	100			115	16-JAN-2026	-2127635.28
158643854	Call	Written	100			290	16-JAN-2026	815724.9
159795524	Call	Written	-135871875			2.86	13-FEB-2026	169497.45
159794247	Put	Written	-135871875			3.71	19-AUG-2026	107668.95
159346855	Put	Written				3.81	06-OCT-2025	6634.95
159276953	Put	Purchased				.62	10-OCT-2025	-43872.26
159274599	Put	Purchased				386	16-DEC-2025	-10047.88
159289694	Call	Written				113.5	24-OCT-2025	-16479.32
157703731	Call	Written	100			240	19-DEC-2025	-3421734.5
157702361	Call	Written	100			37	21-NOV-2025	636515
156446509	Put	Purchased	1			4.146	30-JUL-2030	-32760.57
159370322	Put	Written				4.04	04-DEC-2025	-74099.75
159370060	Put	Purchased				4.52	13-AUG-2035	-3933633
156365027	Call	Purchased	1			4.08	24-APR-2030	-177981.42
160533583	Put	Purchased		2250000000	USD	55	17-DEC-2025	-1584286.49
159183598	Call	Written	1			7.75	10-APR-2026	31984.22
159189120	Call	Purchased		140000000	HKD	0	12-DEC-2025	66050.41
159173630	Put	Written	1			4.1	09-DEC-2025	837846.67
159181464	Call	Written	1			19	15-OCT-2025	56434.81
159182736	Call	Purchased	100			5	17-OCT-2025	-441.09
159172723	Call	Purchased	1			35.41	25-APR-2035	25423.5
159795499	Put	Purchased	12741000			140	19-NOV-2025	-275792.83
159390370	Call	Purchased				2.17	19-JUL-2032	-1651548.16
156443605	Put	Purchased	1			3.805	05-NOV-2029	-144416.83
156399481	Call	Purchased	1			4.693	27-AUG-2035	845.58
156449863	Call	Purchased	1			3.837	22-JUL-2026	-514619.2
156452826	Call	Purchased	1			4.025	23-APR-2030	-525584.08
160398948	Put	Written	-388642000			70	21-JAN-2026	-6159.97
159375749	Put	Purchased				99.8	06-NOV-2025	-87686.94
159369806	Put	Purchased				5.5	17-OCT-2025	-371981.4
156077696	Call	Purchased	34745			0	31-MAR-2040	0
159271332	Put	Purchased				5.48	07-NOV-2025	525352.5
159270353	Put	Purchased				24.2	10-FEB-2026	9760.65
156388377	Put	Purchased	100			5750	09-SEP-2025	-5587.96
156387113	Put	Purchased	100			5865	19-SEP-2025	-16610.24
159374562	Call	Purchased				3.08	08-DEC-2025	-1797867.9
159371316	Call	Purchased				4.56	09-JUL-2035	-3258847.52
159373396	Put	Purchased				5	29-DEC-2025	-415466.76
159372309	Call	Purchased				3.08	10-NOV-2025	-714123.52
158361633	Call	Purchased	1			4.01	07-MAY-2030	-263955.16
156353929	Call	Purchased	1			4.075	24-APR-2030	-61280.1
156398788	Put	Purchased	1			4.01	07-MAY-2030	-41622.21
160026071	Call	Purchased	1			1	27-OCT-2030	23562.32
159184618	Put	Purchased	1			23864.96	30-DEC-2025	-121139.66
159184013	Call	Written	100			25	17-OCT-2025	8497.93
159182254	Put	Purchased	1			1.165	07-OCT-2025	-133010.59
159172980	Put	Purchased	1			1.16	16-OCT-2025	-17055.97
159177351	Call	Purchased	100			22	17-OCT-2025	-36241.92
159173518	Call	Purchased	50			240	21-NOV-2025	5295.32
158644032	Call	Written	100			100	16-JAN-2026	2540248.71
159795547	Put	Written	-190220625			3.64	13-AUG-2026	134912.08
157681095	Call	Purchased	2257143			3.5	18-AUG-2028	.23
159343682	Put	Written				3.85	27-OCT-2025	36733.03
156382718	Call	Purchased	1			4.08	24-APR-2030	-196207.43
156392955	Put	Written	100			6340	09-SEP-2025	19231.32
159367924	Put	Purchased				4.25	28-NOV-2025	-3541248
159376015	Put	Purchased				5.5	03-NOV-2025	-310096.65
159370914	Put	Purchased				4.75	31-OCT-2025	-243964.86
159370508	Call	Purchased				3.29	11-DEC-2025	-364101.39
158362257	Call	Purchased	1			3.804	25-AUG-2026	-180810.59
156419454	Call	Purchased	1			3.804	25-AUG-2026	-12216.24
159184721	Put	Purchased	1			30.15	22-OCT-2025	-39559.75
159170705	Call	Purchased	100			185	21-NOV-2025	-145507.14
159172548	Call	Purchased	1			1.195	08-OCT-2025	-3597303.69
156392427	Put	Written	100			6270	02-SEP-2025	46054.54
156392148	Put	Purchased	100			6070	29-AUG-2025	-6127.64
156388722	Put	Purchased	100			5850	12-SEP-2025	-2937.18
156390005	Put	Purchased	100			5650	02-SEP-2025	-6410.46
156389550	Put	Written	100			6420	05-SEP-2025	9094.54
156317541	Call	Written	100			235	17-OCT-2025	-711921.98
156398292	Put	Purchased	1			4.025	23-APR-2030	-81841.25
159270196	Call	Written				2.61	02-OCT-2025	12827.96
156415611	Put	Purchased	1			3.837	22-JUL-2026	-1661.12
158981588	Call	Purchased	1			1.5	31-DEC-2099	147930.1
159178257	Call	Purchased	100			4	17-OCT-2025	-15302.43
159169642	Put	Purchased	100			642	17-OCT-2025	-47860.77
159166570	Call	Purchased	1			11.5	03-NOV-2026	26540.08
159794655	Put	Purchased	93577000			1.01	26-NOV-2025	-1191328.19
159346435	Call	Written				3.58	02-OCT-2025	96679.34
156387316	Put	Written	100			6450	16-SEP-2025	-9688.68
159794691	Put	Purchased	41765000			140	19-NOV-2025	-885212.93
157703426	Call	Written	100			210	21-NOV-2025	-10110832.25
161041778	Put	Purchased	100			6200	31-OCT-2025	-2653994.83
159183671	Put	Purchased	50			180	17-OCT-2025	-71714.09
159186925	Call	Purchased	1			2.5	18-AUG-2028	-65346.37
159175441	Put	Written	1			16200	30-OCT-2025	1169741.76
157702560	Call	Written	100			120	21-NOV-2025	864871
158643945	Call	Written	100			500	16-JAN-2026	-515588
159269902	Put	Written				3.67	14-OCT-2025	-18447.8
159277022	Put	Purchased				24.25	13-FEB-2026	40862.35
158981686	Call	Purchased	1			0	31-DEC-2099	2413.86
159179577	Call	Written	1			2.7	18-AUG-2026	33302.73
159183759	Call	Purchased	1			19.2	29-OCT-2025	-26797.26
159164350	Call	Written	1			3.1	14-NOV-2025	844595.77
159173773	Put	Purchased	1			24800	28-OCT-2025	1293478.46
159184817	Call	Written	1			1.39	02-OCT-2025	315808.83
159289047	Call	Written				2.61	02-OCT-2025	158103.55
157701972	Call	Written	100			1390	21-NOV-2025	2367282.19
157703011	Call	Written	100			240	19-DEC-2025	424132.75
157701785	Call	Written	100			450	21-NOV-2025	839178.75
156397844	Call	Written	.01			7.85	14-AUG-2026	-2544.54
156390050	Call	Purchased	1			3.215	05-AUG-2026	-1861.03
159793790	Call	Written	-135871875			2.925	19-FEB-2026	38059.07
159794827	Put	Written	-135871875			3.852	13-FEB-2026	228622.1
159795016	Put	Purchased	15409000			1.01	26-NOV-2025	-202598.35
159794503	Put	Purchased	193207000			1.12	14-JAN-2026	-727795.43
156084152	Put	Purchased	1000000			95.6875	12-DEC-2025	-1991968.5
159343753	Put	Written				127.5	24-OCT-2025	65263.87
157703581	Call	Written	100			75	21-NOV-2025	937535.5
157703472	Put	Written	100			275	21-NOV-2025	264682.75
157703270	Call	Written	100			195	21-NOV-2025	-26817.25
156455522	Put	Purchased	1			3.795	30-OCT-2029	-103228.06
159422539	Put	Written				.02	08-AUG-2026	10387897.45
160027111	Call	Purchased	1			1	10-NOV-2023	-112012.76
159795061	Put	Purchased	198129000			1.01	26-NOV-2025	-2487155.86
160752811	Call	Purchased	11765			15.5	07-OCT-2026	14000.35
159346402	Put	Written				3.67	14-OCT-2025	-67308.12
156379425	Call	Purchased	1			4.01	07-MAY-2030	-84090.54
156392621	Call	Written	100			110	19-SEP-2025	265677.82
156391858	Put	Written	100			6220	05-SEP-2025	47559.54
156388640	Put	Written	100			6350	05-SEP-2025	20693.82
157701825	Call	Written	100			160	19-DEC-2025	-2471434.5
157702533	Call	Written	100			160	21-NOV-2025	1647757.5
156447895	Call	Purchased	1			4.146	30-JUL-2030	-70544.94
160383829	Put	Written	-547915000			70	21-JAN-2026	-8684.46
156391851	Put	Written	100			6370	09-SEP-2025	242887.07
156387951	Put	Purchased	100			5850	02-SEP-2025	-4150.68
156418263	Call	Written	100000			129.5	26-SEP-2025	-1435.16
156417326	Put	Purchased	.01			1.11	24-NOV-2025	-337491.3
156392560	Put	Written	1			3.873	08-SEP-2025	9770.94
159181943	Put	Written	1			192	04-DEC-2025	251379.16
159174656	Call	Written	1			3.05	20-NOV-2025	873819.6
159430783	Put	Purchased				2.17	19-JUL-2032	18324161.74
159272833	Call	Written				2.55	17-OCT-2025	2543.28
157703102	Call	Written	100			320	17-OCT-2025	2348567.75
156441933	Call	Purchased	1			3.53	01-AUG-2029	19938.27
158500341	Call	Purchased	1			.01	07-OCT-2032	2426261.07
156388830	Put	Written	100			6335	12-SEP-2025	17849.82
156390448	Put	Purchased	100			6175	09-SEP-2025	470.54
156389505	Put	Purchased	100			5925	05-SEP-2025	-3979.68
159376804	Call	Purchased				4.31	24-APR-2035	-1221754.92
159368148	Put	Purchased				4.47	04-JUN-2035	-1092360.8
158643962	Call	Written	100			585	16-JAN-2026	188682.56
158643772	Call	Written	100			130	16-JAN-2026	-2308280
159793935	Call	Purchased	1035008			1	24-JUL-2027	102.77
156084147	Call	Purchased	1000000			98	12-DEC-2025	-194963
159305281	Call	Purchased				10.13	14-OCT-2025	-105487.74
156389156	Put	Written	100			6230	03-SEP-2025	322356.38
156398284	Put	Purchased	100			5850	17-SEP-2025	4549.35
156393933	Put	Written	100000			111	26-SEP-2025	33788.9
159342980	Call	Written				3.38	14-OCT-2025	119289.5
158496390	Call	Purchased	1			172.5	01-SEP-2026	-233955.31
158505749	Call	Purchased	1			11.5	03-DEC-2028	-72875.88
156368965	Put	Purchased	1			4.025	23-APR-2030	-172573.18
158504564	Put	Written	100000			106	24-OCT-2025	689316.96
156369513	Call	Purchased	1			4.108	28-JAN-2026	-1203825.04
156387643	Put	Purchased	100			5925	23-SEP-2025	1135.32
159368132	Call	Purchased				4.26	01-MAY-2035	-1184868
159370411	Call	Written				3.45	09-OCT-2025	328989.69
159367183	Call	Purchased				3.31	08-JUN-2026	-1555927.4
158354615	Put	Purchased	1			4.025	23-APR-2030	-36433.28
158362630	Put	Purchased	1			3.887	17-SEP-2030	-8181.85
156357487	Put	Purchased	1			3.8	10-AUG-2026	338.83
158644132	Call	Written	100			160	16-JAN-2026	252573.23
158643993	Call	Written	100			775	16-JAN-2026	387581.74
159794916	Call	Written	-135871875			2.94	18-FEB-2026	22931.09
156392329	Put	Purchased	100			5850	26-SEP-2025	1352.54
156387311	Put	Purchased	100			5800	12-SEP-2025	-4030.46
159375446	Put	Written				4.08	06-NOV-2025	107997.12
159177960	Put	Purchased	1			2.7	24-JUN-2026	600138.92
159160194	Call	Written	1			2.75	09-DEC-2025	86959.72
159163078	Put	Written	1			3.9	27-APR-2026	687626.79
159178128	Put	Written	100000			108	24-OCT-2025	44629.52
158644086	Call	Written	100			390	16-JAN-2026	2801748.98
159370719	Put	Purchased				4.52	29-MAY-2035	-1248261.21
159370183	Put	Written				4.03	04-DEC-2025	-76326.25
159370037	Put	Purchased				3.98	29-OCT-2025	-1681849.5
159367425	Call	Purchased				4.4	25-JUN-2035	-4896250.24
159369377	Put	Written				5.5	16-DEC-2025	173620.56
156416914	Put	Purchased	.01			1.145	08-OCT-2025	-99028.46
156414768	Put	Purchased	1			3.95	29-APR-2030	-33144.17
159189660	Put	Purchased	1			3.7	27-APR-2026	-981378.4
159177307	Call	Written	1			2.85	22-DEC-2025	719379.73
159176598	Put	Written	1			4.15	27-APR-2026	412723.66
159166954	Put	Written	1			1.18	02-OCT-2025	-38819.85
159176204	Call	Purchased	1			3.8	30-OCT-2025	-863984.94
159285819	Put	Written				3.63	14-OCT-2025	-208003.02
159300204	Put	Written				3.85	27-OCT-2025	64057.6
159295967	Put	Purchased				1.13	10-OCT-2025	-832691.68
157702474	Call	Written	100			280	19-DEC-2025	697906.2
156390194	Put	Purchased	100			5850	10-SEP-2025	-34.08
156398500	Call	Purchased	1			2.995	07-AUG-2026	-2298.59
156399089	Call	Written	1			2.83	30-OCT-2025	104798.4
156461267	Put	Purchased	1			3.753	31-OCT-2029	-764074.81
159372089	Call	Purchased				96.67	06-NOV-2025	-297916.5
159367722	Call	Purchased				4.49	07-AUG-2035	-1651523.7
159376640	Put	Written				4.12	07-OCT-2025	422549.79
159367603	Call	Purchased				4.47	04-JUN-2035	-1011832.28
159370733	Put	Purchased				4.75	09-OCT-2025	-539124.43
159367374	Call	Purchased				2.74	30-OCT-2025	-712933.76
156392193	Put	Purchased	100			5625	02-SEP-2025	-52708.83
156390225	Put	Written	100			6300	05-SEP-2025	320476.78
159169388	Call	Written	1			151	08-OCT-2025	2317115.64
159169591	Call	Written	250000			96.75	12-DEC-2025	646200
159177995	Put	Written	1			3.55	12-DEC-2025	-745792.01
159178683	Call	Purchased	1			11.5	31-DEC-2027	.2
158643890	Call	Written	100			205	16-JAN-2026	-11674169.44
